query,intent,entities
Need a MRI scheduled on 15th March.,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'on 15th March'}"
Cancel my blood test scheduled day after tomorrow.,cancel_test,{'TIME': 'day after tomorrow'}
Can you analyze my X-ray report?,analyze_report,{'REPORT_TYPE': 'X-ray report'}
"Here is my blood report, please store it.",upload_record,{'REPORT_TYPE': 'blood report'}
Retrieve my ECG report for yesterday.,retrieve_record,"{'REPORT_TYPE': 'ECG report', 'DATE': 'yesterday'}"
I want to book a ultrasound appointment on 15th March.,book_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'on 15th March'}"
Please remove my appointment last Monday.,cancel_test,{'TIME': 'last Monday'}
Interpret my ECG report results.,analyze_report,{'REPORT_TYPE': 'ECG report'}
Can I upload my CT scan report?,upload_record,{'REPORT_TYPE': 'CT scan report'}
I need my ultrasound report from yesterday.,retrieve_record,"{'REPORT_TYPE': 'ultrasound report', 'DATE': 'yesterday'}"
Need a MRI scheduled this Friday.,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'this Friday'}"
I need to cancel my ultrasound on this Friday.,cancel_test,{'TIME': 'this Friday'}
What does my MRI report say?,analyze_report,{'REPORT_TYPE': 'MRI report'}
Can I upload my MRI report?,upload_record,{'REPORT_TYPE': 'MRI report'}
I need my MRI report from on March 5th.,retrieve_record,"{'REPORT_TYPE': 'MRI report', 'DATE': 'on March 5th'}"
Please arrange a blood test test day after tomorrow.,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'day after tomorrow'}"
I won't be available for my blood test test next month.,cancel_test,{'TIME': 'next month'}
What does my ultrasound report say?,analyze_report,{'REPORT_TYPE': 'ultrasound report'}
Can I upload my MRI report?,upload_record,{'REPORT_TYPE': 'MRI report'}
Retrieve my ultrasound report for last month.,retrieve_record,"{'REPORT_TYPE': 'ultrasound report', 'DATE': 'last month'}"
Can I get a ECG day after tomorrow?,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'day after tomorrow'}"
I won't be available for my blood test test today.,cancel_test,{'TIME': 'today'}
What does my ECG report say?,analyze_report,{'REPORT_TYPE': 'ECG report'}
Can I upload my blood report?,upload_record,{'REPORT_TYPE': 'blood report'}
Fetch my MRI report.,retrieve_record,"{'REPORT_TYPE': 'MRI report', 'DATE': 'on March 5th'}"
I want to book a X-ray appointment today.,book_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'today'}"
